phrase,cluster
your ability,53
my direct supervisor,45
a question,59
anyone,41
help,39
the right person,41
a great opportunity,5
several people,41
role,28
development opportunity,24
state,50
worker,46
different location,50
ny,50
great culture,1
the day,23
rapid growth,25
change,15
your co,38
a company,38
something,61
a publicly trade company,38
my opinion,48
the expense,31
the employee,46
no micromanaging,45
peer,36
the manager,45
all level,29
| wage,31
other property management company,27
glassdoor,43
work office,56
great group,34
address issue,59
hard work,43
hour,22
report time,22
amazing people,41
team work,34
| no con,8
work |,43
nice people,41
great opportunity,5
require hour,22
accept position,43
the pay,31
lunch,49
vendor,33
corporation,38
this position,30
make mistake,59
pay more,31
need employee,46
good people,41
none,61
lot,63
small company,38
good benefit,9
get exposure,55
work manager,45
senior leadership,45
myself,41
the country,50
year,18
your manager,45
upward mobility,24
require lot,63
a ton,63
the con,8
a large company,38
a voice,55
upper management,45
morale,52
the line,54
certain employee,46
give opportunity,5
insurance,14
executive management,45
nothing,61
wall street,33
| good pay,31
great product,33
| leadership,45
do nothing,63
resolve issue,59
talk employee,46
leave company,38
train employee,46
no leadership,45
hostile work environment,57
everything,61
general manager,45
issue,59
vice president,45
senior management,45
their position,30
human resource,6
the tenant,26
the contract,31
he,41
no communication,13
information,60
change culture,1
have vision,55
competitive benefit,9
the executive team,45
come experience,4
come work,43
work day,23
provide opportunity,5
make what,63
make it,63
a job,43
anything,61
the environment,57
a place,50
real estate,27
the other hand,8
an environment,57
yourself,41
the good culture,1
fair compensation,31
keep I,63
great experience,4
the bonus,10
| communication,13
resource,60
assistance,39
the work environment,57
put time,22
the time,22
good compensation,31
the perk,10
talk you,13
seek employment,43
the money,31
the benefit,9
most people,41
the one,41
always something,61
job security,43
pride,52
the only reason,58
do more,63
receive bonus,10
the executive,45
cost,31
the ceo,45
a bonus,10
have experience,4
work bone,43
spend time,22
hq,56
the experience,4
majority,41
himself,41
the bone,55
no one,41
money,31
a position,30
director,45
story,59
the wall,54
the majority,41
nyc,50
vision,55
some department,6
bonus opportunity,10
sr,42
mgmt,45
mind,55
your hard work,43
do benefit,9
yearly bonus,10
a good job,43
low pay,31
the amount,31
have interest,63
throw bus,54
take role,28
take position,30
hand,55
the bus,54
some individual,41
the role,28
most employee,46
new york,50
have nothing,63
have time,22
go it,63
get way,16
have job,43
absolutely nothing,61
the outside,54
the truth,60
day,23
reality,60
pay bill,31
mean what,61
pay employee,46
the bill,31
staff,47
a real estate company,27
its way,16
regard,52
do work,43
the first place,50
do company,38
pay management,31
their office,56
florida,50
other review,3
a handful,63
week,20
the boss,45
the price,31
bad management,45
get what,63
bring people,63
show you,62
join company,38
these review,3
addition,10
many other,61
the city,50
clique,40
make difference,15
spend lot,31
use time,22
| great place,50
the place,50
improvement,35
your time,22
have training,32
| poor management,45
no training,32
gain lot,25
keep head,55
find way,16
give work,43
benefit company,9
coverage,14
a team,34
the corporate office,56
your way,16
your team,34
some people,41
this office,56
the right people,41
this place,50
someone,41
your head,55
a way,16
your position,30
an area,50
the last two year,18
threat,52
the worker,46
a great environment,57
care employee,14
any level,29
some employee,46
personality,52
good food,49
employee benefit,9
a fun place,50
have management,45
an opportunity,5
the clock,22
the deal,31
change bad,15
great compensation,31
ceo,45
the management team,45
work/life balance,0
find place,50
pay you,31
solve problem,59
the sake,58
anxiety,52
a paycheck,31
the problem,59
take time,22
process,35
give time,22
| company,38
employment,43
have mentality,52
the,58
work location,56
reason,58
reward,52
fair pay,31
very long hour,22
great training,32
have lot,63
run company,38
the way,16
invest employee,46
| pay,31
facility,56
a family,40
many people,41
cause issue,59
make change,15
very nice people,41
protocol,13
value employee,46
| hr,6
have year,18
many opportunity,5
work environment,57
excellent company,37
emphasis,55
result,51
the world,50
this great company,37
pay job,31
love culture,1
learn time,22
my time,22
event,12
vacation,21
work-life balance,0
enjoy time,22
commercial real estate,27
have day,23
health care,14
good experience,4
good environment,57
any company,38
a time,22
| excellent benefit,9
care health,14
a great company,37
work group,34
advance,24
do management,45
lead employee,46
a small company,38
a big company,38
some team,34
the bad company,37
| culture,1
comp,44
not a lot,63
excellent place,50
see that,62
bring table,63
bring I,63
see employee,46
my day,23
every employee,46
work hour,22
move role,28
do everything,63
some nice people,41
whom,41
system,44
effort,43
their knowledge,60
make sense,58
say something,62
camaraderie,34
high position,30
the hr department,6
a joke,59
5 year,18
accept job,43
work that,43
great location,50
nobody,41
the weekend,20
have none,63
care management,14
be year,18
family,40
no idea,58
the upper management,45
two year,18
work some,43
dedication,52
the good people,41
get job,43
| amazing benefit,9
a public company,38
job,43
the head,55
a wonderful place,50
pay work,31
respect,52
interesting work,43
new ceo,45
middle management,45
career,24
the process,35
| hard work,43
course,32
care company,14
career development,24
ability,53
have issue,59
create environment,57
lack ability,53
the firm,38
marketing,33
the ability,53
a hard time,59
leave pm,11
ton,63
personnel,47
good team,34
bad communication,13
some opportunity,5
the right direction,16
small team,34
many hat,5
par,31
smart people,41
product,33
| bonus,10
base pay,31
work schedule,17
vary department,6
good place,50
motivate employee,46
hire management,45
work you,43
work death,43
top management,45
no appreciation,52
implement change,15
exposure,55
new management,45
the past few year,18
| good benefit,9
a leader,45
| management,45
the last few year,18
its culture,1
potential,5
great leadership,45
work holiday,21
want job,43
young people,41
email,11
a saturday,20
holiday,21
computer system,44
2 year,18
want what,63
no loyalty,52
their mind,55
very good benefit,9
do it,63
ambition,52
the leadership,45
the corporate team,45
the outcome,51
your work,43
a good place,50
great boss,45
overwork,43
the group,40
free food,49
extra hour,22
have culture,1
my team,34
love job,43
awesome people,41
internal growth,25
review,3
location,50
| micro management,45
| opportunity,5
do hour,22
40 hour,22
low management,45
other company,38
boundary,54
micromanagement,45
this level,29
professional growth,24
work they,63
do enough,63
go company,38
position,30
work life balance,0
the job title,28
the salary,31
good leadership,45
great pay |,31
have leadership,45
have department,6
the curve,54
the cut,54
the issue,59
training opportunity,32
way,16
20 year,18
an employee,46
your department,6
depend team,34
get opportunity,5
my skill,53
a call,11
a manager,45
our people,41
executive team,45
average pay,31
false promise,52
award,52
view,55
opinion,48
make experience,4
take one,63
offer salary,31
pay it,31
pay hour,22
| friendly people,41
good exposure,55
market,33
give day,23
commute,54
this job,43
have team,34
begin career,24
a career,24
non existent,5
great employee,46
competitive pay,31
chicago,50
limited opportunity,5
good | pay,31
the hour,22
provide benefit,9
micro,45
| coworker,36
competitive compensation,31
an issue,59
caution,52
do anything,63
herself,41
the door,54
no chance,5
group,40
drive,54
bring good,63
move company,6
expand knowledge,60
one thing,61
willingness,52
my knowledge,60
the help,39
have event,12
large company,38
office space,56
call,11
get team,34
work lot,43
depend manager,45
take what,63
a while,18
care balance,14
| work/life balance,0
collaborative environment,34
no ability,53
encourage growth,25
the good benefit,9
| long hour,22
make money,31
good training,32
review company,3
start career,24
| good company,37
| salary,31
do time,22
a week,18
use phone,11
phone,11
the floor,54
improve benefit,9
learn company,38
waste time,22
know everything,60
no proper training,32
no growth,25
no opportunity,5
need improvement,35
build skill,53
improve experience,4
confidence,52
omega,14
incentive,52
time management,22
adaptability,15
| promotion,24
nice place,50
learn work,43
provide training,32
great communication,13
interaction,13
excellent training,32
use work,43
some work,43
most position,30
no bonus,10
bad company,37
keep it,63
work team,34
quality work,43
take pride,52
take work,43
client,2
their work,43
omega healthcare,14
background,55
this culture,1
balance life,0
no job security,43
need assistance,39
overall a good company,37
offer opportunity,31
recognize effort,43
recent year,18
india,50
woman,41
that company,38
improve efficiency,35
have thing,63
my review,3
give chance,5
omega |,14
every one,41
my experience,4
income,31
learn job,43
improve skill,53
nice company,37
happiness,52
use improvement,35
some improvement,35
work nothing,43
use technology,44
get position,30
option,48
the interview,43
the interview process,43
the good company,37
pay environment,31
go office,56
too much work,43
bonus,10
gain knowledge,60
| insurance,14
saturday,20
work healthcare,14
treat respect,52
amazing company,37
hire experience,4
| process,35
give support,7
our team,34
the trainer,32
feel company,38
no transparency,55
part time,17
the client,2
| less salary,31
get lot,63
| good place,50
good company | good company,37
no,61
the hr team,6
motivation,52
billing,31
work omega,14
old employee,46
| work,43
a good company,37
pay attention,55
my work,43
attention,55
have perk,9
get promotion,24
get work,43
no work,43
new opportunity,5
| good culture,1
micro management,45
medical billing,14
this role,28
my ability,53
good opportunity,5
learn training,32
communication skill,13
possibility,5
have chance,5
a chance,5
a problem,59
management |,45
become time,22
great learning experience,4
make choice,48
trainer,32
friendly environment,57
say thing,62
good work environment,57
get management,45
poor management,45
request time,22
no micro management,45
interview process,43
love work,43
passion,52
interview,43
learn opportunity,5
a strong culture,1
good management,45
meeting,12
talk,13
say this,62
good | good environment,57
learn salary,31
timing,22
medical billing |,14
read review,3
this review,3
no promotion,24
| growth,25
have opportunity,5
| employee,46
meet deadline,22
the chance,5
area,50
work time,22
get information,60
join team,34
4 month,18
the information,60
the knowledge,60
work communication,13
develop skill,53
cab facility,54
burnout,52
the bad place,50
good leader,45
their company,38
learn management,45
tell you,62
an interview,43
work place,56
work year,18
keep mind,55
the support,7
get salary,31
good salary,31
their career,24
your knowledge,60
get experience,4
help I,39
a good experience,4
| good management,45
support team,7
work work,43
balance,0
omega health care,14
good | good place,50
| team,34
work con,8
experience anything,4
provide equipment,44
decent pay,31
equipment,44
almost 2 year,18
| friendly environment,57
have environment,57
promote management,45
the merger,38
long work hour,22
payment,31
| low pay,31
increase pay,19
| omega,14
decent benefit,9
have reason,58
some manager,45
love company,38
just a job,43
promote culture,1
great workplace,57
offer pay,31
have communication,13
send email,11
great pay,31
contract,31
a few month,18
computer,44
the training,32
provide work,43
work opportunity,24
increase salary,19
health insurance,14
documentation,60
no incentive,52
future growth,25
perception,55
the fact,60
certain time,22
work bonus,10
pay time,31
their bonus,10
the good place,50
schedule flexibility,17
gain experience,4
| work life balance,0
work balance,0
a culture,1
work center,56
have meeting,12
the leader,45
all the employee,46
| good experience,4
great work environment,57
require employee,46
provide support,7
every level,29
no support,7
admin,45
make time,22
| competitive pay,31
| no work life balance,0
good | good work environment,57
change year,18
recommend company,43
need job,43
get answer,59
tell I,62
take that,63
tell they,62
have option,48
an answer,59
she,41
support system,7
too many people,41
a computer,44
the cost,31
a great experience,4
the technology,44
advance career,24
meaningful work,43
folk,41
it department,6
maintain balance,0
have food,49
food,49
have it,63
no work-life balance,0
| people,41
work experience,4
no downside,8
work which,43
travel location,50
no pay,31
the work life balance,0
the only con,8
eye,55
| flexible schedule,17
corp,38
supportive team,7
delay,22
patience,52
no help,39
| training,32
sunday,20
the right place,50
ai,44
some weekend,20
the career,24
user,41
have potential,5
the potential,5
pay |,31
pay pay,31
weekend,20
good money,31
flexible schedule,17
no need,58
have any,63
supportive environment,57
get company,38
get pay,31
pay scale,31
work issue,43
a call center,56
the good team,34
get benefit,9
give bonus,10
provide time,22
the last year,18
customer,2
review environment,3
great manager,45
nice office,56
consistency,52
achievement,51
develop career,24
very good company,37
work reason,43
build career,24
employee development,46
advancement opportunity,24
average salary,31
a very good company,37
work process,43
start pay,31
| base pay,31
a positive experience,4
ample opportunity,5
do research,60
allowance,31
transportation,54
| long work hour,22
support growth,25
receive year,18
| good work life balance,0
3 year,18
a slave,46
give experience,4
many thing,61
the bad experience,4
slave,46
work saturday,20
operation,35
| pay scale,31
the reason,58
more experience,4
other department,6
entry level,29
hike,54
employee retention,46
offer employee,46
depend role,28
career advancement,24
training program,32
their skill,53
work life,0
salary |,31
learn skill,53
a great time,4
condition,31
approach,52
our growth,25
the co,38
start company,38
work growth,25
say that,62
recommend job,43
the supervisor,45
your face,55
number,11
more opportunity,5
comment,48
less salary,31
place emphasis,55
foster culture,1
value balance,0
promote environment,57
employee engagement,46
any downside,8
amazing place,50
like work,43
update,19
consideration,48
build experience,4
good colleague,36
good way,16
look company,38
help way,16
recruiter,43
the team member,34
every way,16
team member,34
us,50
improve culture,1
the growth,25
outweigh con,8
look career,24
employee growth,25
offer environment,57
numerous opportunity,5
a month,18
amazing team,34
the leadership team,45
open communication,13
every company,38
work facility,56
their staff,47
get review,3
payroll,31
another company,38
take it,63
look job,43
the hr,6
infrastructure,44
great staff,47
no down side,8
| nothing,61
this department,6
positive work environment,57
job stability,43
competitive salary,31
work salary,31
availability,50
company policy,38
research,60
pay amount,31
a couple,41
| office,56
appreciate effort,43
their effort,43
the next level,29
take week,20
your opinion,48
care growth,14
my growth,25
have process,35
play role,28
case,59
friendly staff,47
| good salary,31
pay less,31
have growth,25
hard worker,46
nice environment,57
offer training,32
the number,11
a good manager,45
problem,59
many con,8
give training,32
automation,44
do lot,63
your skill,53
your salary,31
| manager,45
one person,41
good communication,13
laptop,44
support we,7
give information,60
dinner,49
work what,43
free snack,49
have incentive,52
have bonus,10
work week,20
the pay scale,31
senior employee,46
the staff,47
see con,8
the field,54
growth |,25
good | good company,37
our company,38
5 day,18
no benefit,9
line,54
| work hour,22
put effort,43
help you,39
the call,11
the case,59
supervisor,45
behavior,52
attitude,52
pay much,31
| good environment,57
good culture,1
your experience,4
an awesome place,50
start salary,31
company review,3
head,55
great team member,34
no time,22
no career growth,24
say it,62
coffee,49
person,41
snack,49
say what,62
a nightmare,59
your supervisor,45
fact,60
my employment,43
the onboarding process,32
any other company,38
no reward,52
threaten you,52
| none,61
have skill,53
long time,18
your effort,43
date,12
learn place,50
| nice place,50
service,2
tenured employee,46
bad place,50
work everyone,43
wonderful company,37
work pay,31
great teamwork,34
pay salary,31
our work,43
good work life balance,0
cab,54
pay training,32
easy job,43
1 year,18
workplace,56
have knowledge,60
have anything,63
good company |,37
keep work,43
the good work,43
have something,63
set hour,22
do that,63
tell what,62
pay I,31
tell employee,46
the only way,16
2 week,18
bully,52
hr department,6
other benefit,9
company |,38
get time,22
the senior leadership team,45
deal people,31
get result,51
pay month,31
a person,41
some case,59
have downside,8
culture |,1
| good work environment,57
| friendly staff,47
| bad management,45
have salary,31
have work,43
only thing,61
make employee,46
less pay,31
excellent customer service,2
my company,38
e,42
m,42
find company,38
retirement plan,9
work support,7
clarity,55
have staff,47
hire employee,46
the person,41
some change,15
multiple location,50
care work,14
the heart,55
the family,40
compare market,33
their word,48
encourage employee,46
the work place,56
| work environment,57
work area,56
work family,40
great place | great place,50
hire manager,45
hit number,11
| great management,45
| great environment,57
| change,15
give more,63
friday,20
instruction,32
conversation,13
get training,32
take employee,46
learn environment,57
support management,7
a good team,34
offer position,43
the operation,35
receive raise,19
another,61
a raise,19
overall good company,37
supportive management,7
no salary,31
positive environment,57
other people,41
| system,44
no respect,52
good friend,36
good perk,9
get touch,11
need lot,63
floor,54
have schedule,17
satisfaction,52
provide environment,57
work compensation,31
advance company,38
provide experience,4
improve performance,35
provide service,2
force employee,46
different country,50
their client,2
go management,45
no reason,58
no raise,19
get hour,22
call it,11
work clock,22
work flexibility,17
enjoy ride,4
transformation,15
new customer,2
the chain,54
everybody,41
ourselves,41
promote employee,46
promote level,29
the workplace,56
character,52
| horrible management,45
good work hour,22
pay wage,31
care number,14
minimum wage,31
get year,18
get it,63
new skill,53
software,44
see lot,63
get one,63
an email,11
nice work environment,57
their experience,4
provide lot,63
provide employee,46
| career opportunity,24
a sign,55
the mistake,59
your question,59
5pm,22
any idea,58
work technology,44
give lot,63
recognize work,43
hiring,43
have employee,46
understanding,58
| career growth,24
difficulty,59
| low salary,31
6 year,18
the situation,59
their training,32
learn role,28
the option,48
improve process,35
america,50
strong culture,1
a long time,18
like company,38
good support,7
no increase,19
see growth,25
give pay,31
ask employee,46
give it,63
a bunch,63
not a bad company,37
flexible hour,17
free lunch,49
candidate,46
senior executive,45
a great manager,45
career progression,24
mail,11
work job,43
| easy job,43
the level,29
great environment,57
work teamwork,34
| teamwork,34
handle situation,59
project manager,45
get level,29
manage time,22
have attitude,52
an attitude,52
paycheck,31
scheduling,17
any reason,58
fun,12
| job security,43
need support,7
need time,22
good employee,46
give employee,46
low salary,31
family life,40
high management,45
3 month,18
awesome place,50
work training,32
not a good company,37
get they,63
your company,38
coworker,36
put lot,63
have office,56
have hour,22
a con,8
good work,43
| schedule,17
salary increase,19
review place,3
equal opportunity,52
female,41
alot,63
pay manager,31
friendly colleague,36
look opportunity,5
well opportunity,5
learn pay,31
great work place,57
find balance,0
high level,29
dignity,52
a year,18
no sense,58
get nothing,63
over 2 year,18
make career,24
make company,38
enjoy job,43
give job,43
see it,62
enjoy work,43
work I,43
have balance,0
like that,16
man,41
open opportunity,5
the only thing,61
field,54
our family,40
move position,30
a nice place,50
high salary,31
feel team,34
good location,50
more work,43
the individual,41
great management,45
every job,43
lead company,38
lead lot,63
more hour,22
| location,50
| growth opportunity,25
a good time,4
many company,38
one employee,46
no extra pay,31
learn people,60
| good people,41
take advantage,5
the computer,44
some holiday,21
advantage,9
like job,43
good employer,46
application,44
every aspect,61
get chance,5
face,55
look growth,25
job description,28
work zone,56
do pay,31
other team,34
attendance,12
have more,63
take call,11
| terrible management,45
work it,43
okay company,38
| middle management,45
the basic,31
have that,63
recognize employee,46
easy work,43
human,41
learn technology,44
new technology,44
adapt change,15
a change,15
see time,22
raise,19
gain skill,53
platform,44
employee safety,46
both,48
some time,18
racism,52
a waste,59
forget it,63
*,59
a promotion,24
fun activity,12
well management,45
appreciate employee,46
travel,54
sell you,33
call they,11
that day,23
manage team,34
sit office,56
run office,56
go year,18
8 hour,22
bug,59
your employee,46
a number,11
offer,31
help employee,46
experience that,4
manage balance,0
great potential,5
work none,43
weed,49
pay good,31
team player,34
care experience,14
the system,44
bad manager,45
sick leave,21
not much opportunity,5
give incentive,52
a trainer,32
each,41
overall good place,50
respect employee,46
depend management,45
other thing,61
need work,43
have pay,31
some good people,41
get day,23
your pay,31
some location,50
inclusive,52
vp,42
come employee,46
awesome company,37
execution,35
no way,5
pay lot,31
the course,32
the good employer,46
senior manager,45
know nothing,60
| job,43
make promise,52
know anything,60
foot,55
develop employee,46
see company,38
the location,50
6 month,18
the down side,8
have career,24
manage day,23
do team,34
| medical benefit,9
support other,7
the benefit package,9
the need,58
great company | company,37
our employee,46
most manager,45
so many opportunity,5
| great culture,1
adult,41
two people,41
the answer,59
a decade,18
empathy,52
engagement,52
work part,43
decade,18
leadership team,45
take ownership,27
most company,38
speak I,13
encourage I,52
horrible place,50
the vp,45
check box,31
too much emphasis,55
box,54
their growth,25
more people,41
create culture,1
love environment,57
a work/life balance,0
embrace change,15
set bar,51
constant change,15
offer experience,4
the department,6
| decent pay,31
regional,50
work coworker,36
| great work life balance,0
drive company,38
cfo,45
all area,50
a plus,10
get help,39
your role,28
support staff,47
help other,39
the past year,18
good coworker,36
your hand,55
a great deal,63
| no real con,8
put employee,46
get thing,63
lay people,41
command,35
the wage,31
the phone,11
an office,56
your office,56
greed,31
go they,63
those employee,46
the only one,41
your shoulder,55
their system,44
your property,27
more staff,47
put they,63
care team,14
think con,8
the backbone,55
the property,27
flexible work schedule,17
our goal,51
my group,40
grow people,25
have voice,55
the employee experience,46
staffing,47
no interest,52
current employee,46
any employee,46
run,54
build team,34
| local management,45
other place,50
corporate office,56
work realty,27
have boss,45
a great boss,45
medical insurance,14
exactly what,61
your input,48
bullying,52
unfair treatment,52
feel family,40
feel time,22
a good work/life balance,0
| hour,22
push employee,46
push limit,25
fellow employee,46
great co worker,36
come job,43
a well company,38
the week,20
provide balance,0
all aspect,61
change it,15
health benefit,9
all decision,48
promote growth,25
the wheel,54
pay same,31
10 year,18
ask help,39
most place,50
your success,51
meet lot,63
new people,41
break,21
tour,54
the service,2
interact customer,2
take |,63
benefit package,9
| great coworker,36
great | great company,37
produce result,51
get bonus,10
have conversation,13
apply position,30
make year,18
10 day,18
the hiring process,43
every department,6
taxis,54
mention time,22
parking,54
love team,34
| experience,4
toxic work environment,57
discrimination,52
make level,29
hourly employee,46
no work/life balance,0
run facility,56
a facility,56
not a good place,50
a great team,34
family time,40
busy season,17
a fantastic place,50
sale,33
customer service,2
a global company,38
great perk,9
have goal,51
get money,31
bonus program,10
good time,4
long day,22
spend money,31
take year,18
terrible management,45
equality,52
any money,31
have family,40
have customer,2
work / life balance,0
look employment,43
direct manager,45
a high position,30
internal promotion,24
love coworker,36
take vacation,21
communicate other,13
come issue,59
your day,23
my coworker,36
solve issue,59
most coworker,36
no team,34
harassment,52
2 people,41
answer question,59
take property,27
run ground,54
your goal,51
their property,27
their people,41
pretty good benefit,9
this day,23
good hour,22
great company | great company,37
work order,43
very low pay,31
various department,6
get increase,19
empty promise,52
take hour,22
use that,63
the home office,56
profit,31
put that,63
the effort,43
hybrid work,17
solid company,37
a supervisor,45
have supervisor,45
the key,55
management team,45
cross training,32
pay structure,31
treat customer,2
make customer,2
make lot,63
do position,30
write you,11
depend location,50
trust you,52
get amount,31
take lunch,49
different people,41
your customer,2
compassion,52
fun event,12
other property,27
a toxic environment,57
your boss,45
the possibility,5
the local level,29
pay holiday,21
major holiday,21
stick way,16
their way,16
large corporation,38
the us,50
executive leadership,45
make improvement,35
those people,41
another job,43
lay environment,57
work simon,43
pay increase,19
take I,63
field employee,46
the same level,29
a property,27
increase,19
my commute,54
an hour,22
take place,50
run it,54
leave year,18
work level,29
offer what,31
take chance,5
see what,62
the change,15
stuff,61
a reason,58
the high level,29
my property,27
employee satisfaction,46
the message,13
fix it,59
set company,38
encourage you,52
your bonus,10
the budget,31
all property,27
a break,21
high up,29
great growth opportunity,25
some position,30
hundred,63
good work/life balance,0
many department,6
pay lack,31
| great work/life balance,0
edge,54
have much,63
| con,8
relocation,6
want it,63
vacation time,21
enjoy team,34
good benefit package,9
budget,31
bad job,43
have choice,48
poor pay,31
my position,30
a well place,50
zero opportunity,5
your soul,55
stab back,52
have holiday,21
full time,17
have position,30
get that,63
my year,18
wage,31
simon property group,27
an option,48
no supervision,45
down time,21
most holiday,21
get holiday,21
an easy job,43
an amazing company,37
do day,23
| great team,34
the holiday,21
give option,48
give raise,19
high-up,29
manage property,27
pay benefit,9
some company,38
| customer,2
start time,22
dollar,31
the first year,18
no formal training,32
do most,41
open position,30
have week,20
country,50
busy work,43
my schedule,17
be time,22
help customer,2
poor training,32
schedule,17
| great people,41
most department,6
steady work,43
get you,63
say company,38
keep staff,47
keep time,22
last year,18
the road,54
thousand,63
million,63
record,51
so many people,41
rumor,60
a heartbeat,55
your place,50
get anything,63
the review,3
30 year,18
trouble,59
the folk,41
the gm,45
meet goal,51
| great pay,31
growth potential,25
put you,63
seem time,22
customer service skill,2
irate customer,2
use day,23
take day,23
a fortune 500 company,38
their process,35
christmas eve,21
the last 5 year,18
the customer,2
the pay rate,31
give hour,22
your foot,55
the high up,29
| upper management,45
no clue,58
| health benefit,9
care staff,14
do much,63
my location,50
great support,7
see change,15
many change,15
senior leader,45
exec,35
great health benefit,9
the communication,13
depend position,30
| work-life balance,0
social medium,13
the director,45
t,42
work condition,43
expect work,43
their head,55
more training,32
leave review,3
just a number,11
| decent benefit,9
non,61
create lot,63
go team,34
have ability,53
your family,40
corporate employee,46
thanksgiving,21
christmas,21
good work-life balance,0
complete job,43
miscommunication,13
build event,12
career advancement opportunity,24
use company,38
have call,11
expect pay,31
each person,41
its people,41
| easy work,43
accomplishment,51
overwork employee,46
hold,11
the equipment,44
fix issue,59
make call,11
a local level,29
no regard,52
the rug,54
tell people,62
an employer,46
a robot,44
great incentive,52
make wage,31
the health insurance,14
have they,63
horrible company,37
| large company,38
the hiring,43
the success,51
employee event,12
the food,49
take job,43
loyalty,52
like environment,57
concierge,2
fear,52
your research,60
a team environment,34
show appreciation,52
appreciation,52
birthday,21
regional management,45
like what,61
make hour,22
lay employee,46
work way,43
today,23
manager |,45
some great people,41
finger,55
property manager,27
save money,31
multiple property,27
vacation day,21
many position,30
change notice,15
do training,32
take while,22
the bad job,43
give review,3
appreciate work,43
good review,3
the real estate industry,27
average benefit,9
drive success,51
traffic,54
work kink,43
certain area,50
all the work,43
have program,44
make bonus,10
name few,61
do level,29
limit growth,25
pay standard,31
office staff,47
my office,56
figure it,62
your schedule,17
beautiful property,27
sick time,21
big company,38
change environment,57
voice opinion,48
not a place,50
expect employee,46
pay money,31
many way,16
an excellent place,50
many location,50
fix thing,59
know company,38
pick slack,43
a well job,43
their money,31
their back,55
work one,43
the job description,28
terrible company,37
little pay,31
give all,63
promote company,38
a friend,36
my goal,51
nice benefit,9
only con,8
any job,43
my training,32
some customer,2
show I,62
regret it,48
make $,31
pay what,31
great employer,46
the globe,50
great hour,22
deal issue,31
conflict,59
decision making,48
corporate staff,47
apply job,43
corporate,38
need help,39
keep they,63
train they,32
make more,63
other manager,45
lease,26
too many cook,41
meet customer,2
the program,44
the good job,43
rude customer,2
team environment,34
a work life balance,0
use they,63
this area,50
the only people,41
love worker,43
charge,31
no compassion,52
most location,50
work public,56
wear hat,55
the schedule,17
his employee,46
make that,63
take bonus,10
no such thing,5
a hassle,59
affect employee,46
take thing,63
| health insurance,14
receive benefit,9
need training,32
get raise,19
mean nothing,61
unrealistic goal,51
decent place,50
a downside,8
depend property,27
a work-life balance,0
continue growth,25
the field employee,46
advance position,30
work friday,20
objective,51
employee appreciation,46
cause problem,59
housing,26
conference call,11
deal tenant,26
meet number,11
how much money,31
your number,11
no advancement,24
price,31
lack leadership,45
put position,30
get manager,45
work staff,47
new way,16
intimidation,52
that position,30
the reality,60
make number,11
their goal,51
the downside,8
love benefit,9
want whatever,63
no advancement opportunity,24
job growth,25
other employee,46
